word,close_words
speculation's,speculation,speculations
accepts,accept,accents
overhead,overheard,overhear
yonder,wonder,ponder,fonder
cornet,coronet,corner,cornets
endued,ended,endured
exhaled,exhale,exhales
slower,flower,lower,shower,sower
heather,feather,weather
pleiads,pleiad,pleiad's,pleads
tapped,tipped,mapped,sapped
had'st,hadst,had'nt
withdrawn,withdraw,withdraws
spangle,spangled,spangles
dejected,detected,rejected
encloses,enclose,enclosed
expose,exposes,exposed
delinquency,delinquent,delinquencies
pinion,opinion,pinions
canton,cannon,cantons
adores,adored,adore
presumed,presume,resumed,presumes
surety,surely,sureties
beating,bearing,bleating
hoarse,hearse,horse
inheres,inhere,inhered
deprived,derived,deprive
balking,walking,basking
indicate,vindicate,indicates
revelation's,revelation,revelations
chanted,changed,charted,chanced,chatted
moaning,morning,meaning
marched,parched,matched
deportment,department,deportments
drilled,frilled,trilled
mashed,washed,mashes
covets,covet,covers
protects,projects,protect
interrupted,interrupt,interrupts
abridges,bridges,abridge
retarded,rewarded,regarded
failing,vailing,sailing,wailing,falling
treading,reading,threading
seated,sated,sealed,stated
strung,strong,string,stung,sprung
effaced,efface,effaces
denoted,denote,denotes
freshet,fresher,freshets,freshest
pearly,pearl,early,pearls,nearly
strand,stand,strands
dangle,mangle,dangled,angle,dangles,dingle
housewife's,housewife,housewives
giving,living,diving
combine,combined,combines
swallow,sallow,swallows,shallow
enforced,enforce,enforces
skipper,slipper,skipped
dating,daring,darting
debated,debate,debates
lengthy,length,lengths
celebrated,celebrates,celebrate
confide,confided,confides
assent,absent,assert
handled,handed,handle
intercepting,interrupting,interceptive,interceding
meddle,meddled,middle
unties,untie,untied
preaches,preachesa,reaches,preached
exhilirates,exhilirate,exhilarates,exhilarate
travelled,traveller,ravelled
wind's,winds,wlnd's
sweeping,sleeping,weeping
slight,light,sight,flight,plight,alight
alters,alter,asters
skipped,slipped,sipped,skipper
crumbled,crumble,crumpled
fasten,hasten,faster
slashing,flashing,splashing,plashing
ticket,ticked,tickets
creates,created,create,creases
cherry,sherry,cherries
space's,spaces,spice's
fame's,flame's,fate's,fames
lightest,slightest,tightest
practised,practise,practises
declined,decline,declines
defied,deified,denied,defies,defined
defined,refined,define,defied
watcher,watched,watchers
beguiles,beguiled,beguile
therein,herein,thereon,wherein
settler,settled,settle,settles,settlers
yearns,year's,years,learns,earns
enlarges,enlarged,enlarge
escutscheon,escutcheon,scutcheon
wading,waking,fading,waxing,waning
was'nt,twas'nt,has'nt,was't
chatted,charted,chanted,chatter
profaned,profane,profanes
leaked,leaped,leaned,leased
deposed,deposes,depose,reposed
enfold,unfold,enfolds
charmed,charged,charted
winding,finding,wincing,wending,winning
soared,spared,shared,stared
fright,right,bright,freight,flight,fight
brayed,prayed,braced
exhilarates,exhilirate,exhilirates,exhilarate
sawing,saying,swing,sowing,sewing,saving
aground,around,ground
peruse,peruser,peruke
thanks,tanks,thank
impart,import,imparts
aspire,aspires,spire
dearth,death,earth,hearth
mine's,mines,miner's
transported,transport,transport's,transports
winked,winced,winged
scream,stream,screams
mellow,fellow,yellow
submit,summit,submits
develops,developes,develope
kinder,hinder,tinder,cinder
tingle,single,mingle,tingles,dingle,tinge
espies,espied,spies
untarnished,unfurnished,tarnished
robbery,robber,robberies
ceasing,easing,chasing
importunity,opportunity,importunate
uncertainty,certainty,uncertain
precedes,preceded,recedes
dumber,umber,number
leaping,leaving,leaking,leading,leaning
kissing,missing,hissing
composed,composer,compose
staked,stayed,stated,stake,stakes,stared
require,requires,required
lingers,fingers,linger
raffle,baffle,ruffle
racket,jacket,racked
shamed,shame,shames,shared,ashamed,shaped
aspires,spires,aspire
did'st,didst,did'nt
swaying,staying,saying
hastened,fastened,chastened
chuckle,chuckled,chuckles
shatter,shutter,chatter
plashing,flashing,splashing,slashing
strife,strike,strive,stripe
balked,walked,talked
debases,debase,debates
defaces,defaced,deface
interior,inferior,anterior
indifference,difference,indifferent
durable,durabler,durably
complaint,complain,complains
dancer,danced,dance,danger,dances
resumed,resume,resumes,presumed
