word,average
am,10.2
o,25.4
lip,1.5
frills,1.0
educated,1.0
better'n,1.25
meddle,1.2
hifalut'n,1.0
hey,3.8
shovel,2.2
looky,14.9
airs,1.2
lem,4.9
catch,13.9
mother,8.1
died,12.0
you're,2.5
a-swelling,1.0
yourself,12.7
general,7.3
washington,1.0
wars,1.0
whack,5.0
knocked,4.9
across,23.5
doubts,1.0
putting,10.6
smarty,1.0
tan,2.0
religion,1.0
blue,9.9
yaller,5.6
picture,5.0
cows,2.0
learning,3.0
lessons,1.0
tore,7.0
cowhide,2.0
a-mumbling,1.6
a-growling,1.0
sweet-scented,1.0
dandy,1.0
bedclothes,1.0
look'n'-glass,1.0
carpet,3.5
bet,17.2
how's,1.6666666666666667
lie,14.0
a-standing,2.8
gim,7.2
sass,1.9
bein,5.0
to-morrow,4.0
pungle,1.0
reason,5.0
pocket,7.5
shell,1.0
whisky,9.2
drink,4.0
cussed,5.7
bullyragged,1.0
law,6.0
force,2.0
court,3.8
guardian,1.9
courts,2.0
mustn't,1.2857142857142858
interfere,2.0
separate,1.9
druther,4.9
child,8.0
quit,13.3
pleased,3.9
raise,10.6
borrowed,4.8
a-blowing,1.0
cussing,9.9
whooping,6.3
carrying,3.8
pan,8.3
midnight,9.6
jailed,5.0
boss,5.4
warm,7.9
nice,9.7
dinner,12.8
speak,7.1
temperance,2.9
fooled,5.0
leaf,3.0
hoped,6.0
hug,5.0
words,15.9
wife,4.0
misunderstood,1.0
sympathy,2.7
bedtime,1.0
rose,7.0
gentlemen,6.5
ladies,3.9
a-hold,2.0
shake,5.9
hog,5.0
it's,11.75
forget,8.0
afeard,8.4
kissed,7.0
pledge,1.0
holiest,1.0
record,3.0
tucked,3.9
spare,4.0
powerful,13.7
thirsty,1.0
porch-roof,1.0
stanchion,1.0
traded,2.0
coat,8.4
jug,6.3
forty-rod,1.0
daylight,13.4
fiddler,1.0
porch,2.0
broke,14.8
arm,10.5
froze,3.0
soundings,1.0
navigate,1.0
sore,4.8
reform,1.0
shotgun,1.0
stopping,4.0
catched,10.9
couple,22.5
thrashed,1.0
dodged,3.0
outrun,2.1
trial,2.0
appeared,1.0
borrow,8.0
cowhiding,1.0
raised,12.0
cain,3.4
suited,2.7
hanging,13.7
using,1.0
watched,9.9
spring,4.0
illinois,7.7
shore,15.2
woody,2.0
log,13.2
hut,5.0
timber,5.0
thick,9.1
chance,22.7
lived,12.7
cabin,9.9
locked,9.8
key,5.0
nights,16.6
gun,9.9
fished,2.9
store,6.9
ferry,4.2
fish,7.2
game,3.1
licked,2.0
drove,2.9
lazy,4.7
jolly,1.0
smoking,2.0
fishing,1.2
study,6.0
dirt,6.0
wash,6.0
plate,5.6
comb,3.0
bothering,2.9
hadn't,5.625
objections,3.0
handy,13.7
hick'ry,1.0
welts,1.0
locking,1.1
dreadful,7.7
leave,21.6
chimbly,1.375
oak,2.0
slabs,2.0
careful,3.0
knife,6.1
rusty,4.0
wood-saw,1.0
handle,5.9
rafter,1.0
clapboards,1.0
roof,4.0
horse-blanket,1.0
nailed,4.9
logs,5.5
far,11.9
blowing,5.0
chinks,1.9
blanket,2.9
section,1.9
bottom,13.8
job,11.3
rid,2.0
signs,8.9
humor,1.0
natural,14.0
wrong,9.9
lawyer,3.9
win,1.9
lawsuit,2.9
guessed,1.0
sivilized,1.0
skipped,3.9
polished,1.0
cuss,4.5
what's-his-name,1.0
stow,1.0
hunt,12.1
uneasy,9.4
fifty-pound,1.0
sack,4.0
corn,3.4
meal,4.0
bacon,3.9
ammunition,2.0
four-gallon,1.0
newspapers,1.8
wadding,2.0
besides,13.5
tow,3.5
toted,1.0
load,3.1
bow,6.4
walk,11.9
lines,6.0
tramp,3.9
alive,8.9
staying,1.0
hollered,5.8
cooking,3.0
swig,1.0
warmed,3.0
ripping,3.1
gutter,1.0
adam,1.0
mud,3.7
liquor,1.0
govment,1.0
anxiety,1.0
expense,1.9
raising,4.0
suthin,1.0
goes,16.9
backs,6.0
helps,1.0
does,24.1
takes,10.2
up'ards,1.0
jams,1.0
trap,1.3
lets,7.0
fitten,3.7
rights,4.8
notion,11.8
lots,9.6
blamed,8.6
a-near,2.2
raises,1.0
below,12.9
chin,6.9
rightly,2.0
shoved,22.6
jint,1.0
stove-pipe,2.4
wear,4.6
wealthiest,1.0
men,24.4
wonderful,5.0
ohio,4.0
mulatter,1.0
whitest,1.0
shirt,12.7
shiniest,1.0
chain,6.0
silver-headed,1.0
cane,2.8
awfulest,1.0
gray-headed,1.8888888888888888
nabob,1.0
p'fessor,1.0
college,1.0
languages,1.0
wust,1.0
vote,1.0
thinks,12.6
a-coming,6.7
lection,1.2
drawed,3.9
rot,3.1
cool,8.9
auction,4.0
sold,9.0
specimen,1.0
calls,3.0
stock-still,1.0
prowling,2.0
thieving,1.0
infernal,2.0
white-shirted,1.0
agoing,11.5
limber,1.0
heels,7.9
tub,3.4
salt,1.2222222222222223
barked,1.0
both,19.8
shins,1.0
speech,5.9
hottest,1.0
language,1.0
hove,4.8
hopped,3.0
leg,9.2
holding,5.8
shin,4.9
sudden,13.9
rattling,4.0
kick,2.0
judgment,3.6
leaking,1.0
howl,3.9
fairly,10.0
previous,1.0
sowberry,1.0
hagan,1.0
piling,3.0
drunks,1.0
delirium,1.0
tremens,1.0
blind,4.0
steal,12.6
drank,2.0
tumbled,2.0
blankets,5.8
groaned,1.0
moaned,1.0
burning,3.8
scream,3.0
looking,24.9
wild,11.9
skipping,1.0
yelling,7.4
snakes,5.9
jump,15.1
cheek,2.8
hollering,1.8
biting,1.0
fagged,3.0
panting,2.0
fast,12.9
kicking,1.0
striking,1.1
grabbing,1.0
air,6.1
screaming,3.0
devils,3.0
wore,6.2
moaning,2.7
owls,1.0
wolves,1.0
terrible,2.6
corner,12.9
low,22.2
fours,1.9
begging,1.0
himself,24.2
wallowed,1.0
pine,2.9
a-begging,1.0
jumped,14.8
clasp-knife,2.0
calling,3.9
angel,2.0
begged,7.0
laughed,9.9
screechy,1.0
laugh,9.0
roared,3.0
chasing,2.0
short,10.9
grab,5.9
jacket,2.0
saved,6.0
strong,4.0
dozed,1.0
split-bottom,1.8
ramrod,1.0
turnip,1.1428571428571428
pointing,2.0
stir,6.0
drag,2.0
sour,2.9
doin,4.2
roust,2.1
palavering,1.0
unlocked,2.0
cleared,7.0
river-bank,1.3333333333333333
pieces,5.0
limbs,2.0
sprinkling,1.0
bark,1.3
rise,1.0
great,7.9
june,1.1
begins,5.9
comes,27.8
cordwood,1.8333333333333333
rafts,4.7
dozen,7.9
wood-yards,1.0
sawmill,2.0
eye,11.9
canoe,18.8
beauty,1.8
thirteen,1.8
fourteen,5.8
riding,3.0
duck,1.9
shot,17.1
head-first,1.0
frog,2.0
struck,25.8
expected,5.9
often,7.0
they'd,3.625
drift-canoe,1.0
paddled,7.0
sees,5.3
running,12.7
creek,1.0
gully,1.0
willows,4.0
